level_0,level_1,level_2,no_aud_data_Fz
14,0,28,-8.860071234415413e-06
14,0,29,-8.39179932653791e-06
14,0,30,-6.5950212120267915e-06
14,0,31,-4.899017658558936e-06
14,0,32,-4.599744420704348e-06
14,0,33,-5.915429662234963e-06
14,0,34,-7.973559814344118e-06
14,0,35,-9.526561330934036e-06
14,0,36,-9.982619088582604e-06
15,0,0,-9.912940333755261e-07
15,0,1,-2.181292653165927e-06
15,0,2,-3.559691375196037e-06
15,0,3,-4.428756503840073e-06
15,0,4,-4.004362986604503e-06
15,0,5,-2.145835274093192e-06
15,0,6,4.255480753019397e-07
15,0,7,2.4694937023561435e-06
15,0,8,3.010367844873932e-06
15,0,9,1.888294565049198e-06
15,0,10,-1.4641183488384874e-07
15,0,11,-1.9124489256988115e-06
15,0,12,-2.4391453188972776e-06
15,0,13,-1.4893049632526273e-06
15,0,14,4.490975310163902e-07
15,0,15,2.5594796551872733e-06
15,0,16,4.271708958174421e-06
15,0,17,5.483456416041871e-06
15,0,18,6.391765150258542e-06
15,0,19,7.1044750406142314e-06
15,0,20,7.468668738844523e-06
15,0,21,7.1923242265611756e-06
15,0,22,6.189341458053758e-06
15,0,23,4.7124249951669935e-06
15,0,24,3.2233791469587624e-06
15,0,25,2.1169324415348643e-06
15,0,26,1.5863283133425309e-06
15,0,27,1.6624535667121007e-06
15,0,28,2.3289427537360075e-06
15,0,29,3.4655815914266786e-06
15,0,30,4.7424521450924065e-06
15,0,31,5.612287797659266e-06
15,0,32,5.529227283287454e-06
15,0,33,4.29097714941542e-06
15,0,34,2.1896108918322937e-06
15,0,35,-1.7354150517649394e-07
15,0,36,-2.256098593501446e-06
16,0,0,5.373594183803076e-06
16,0,1,3.846290986091508e-06
16,0,2,2.658924898754617e-06
16,0,3,2.466080368689527e-06
16,0,4,2.9726038053041884e-06
16,0,5,3.3999175281717252e-06
16,0,6,3.29013896944674e-06
16,0,7,2.8363433070541287e-06
16,0,8,2.6040217950724513e-06
16,0,9,2.922334031499777e-06
16,0,10,3.6379846820679997e-06
16,0,11,4.320938451923443e-06
16,0,12,4.7051675911365825e-06
16,0,13,4.852401688823873e-06
16,0,14,5.003805274084102e-06
16,0,15,5.337967456814347e-06
16,0,16,5.875848816021885e-06
16,0,17,6.525458690624067e-06
16,0,18,7.083337655834296e-06
16,0,19,7.216680495037591e-06
16,0,20,6.621794553658656e-06
16,0,21,5.333397063970893e-06
16,0,22,3.878471455704926e-06
16,0,23,2.9756165974981755e-06
16,0,24,2.8849370639971386e-06
16,0,25,3.059135315307569e-06
16,0,26,2.5515628674882513e-06
16,0,27,9.22210088092006e-07
16,0,28,-1.27357581810999e-06
16,0,29,-2.927189096189127e-06
16,0,30,-3.4003628167843486e-06
16,0,31,-3.0616120513163433e-06
16,0,32,-2.835662641209179e-06
16,0,33,-3.198341485041625e-06
16,0,34,-3.717307900755597e-06
16,0,35,-3.5540637856954892e-06
16,0,36,-2.423479818122626e-06
17,0,0,8.872924941328165e-07
17,0,1,3.3653687343196e-07
17,0,2,-1.3401267296618571e-06
17,0,3,-3.1671276264116552e-06
17,0,4,-4.088243501411653e-06
17,0,5,-3.985547723731736e-06
17,0,6,-3.6534821082192593e-06
17,0,7,-3.7566366350335863e-06
17,0,8,-3.954930857432906e-06
17,0,9,-3.2806249271286633e-06
17,0,10,-1.4187494555197106e-06
17,0,11,5.070576738104435e-07
17,0,12,7.568950990398381e-07
17,0,13,-1.3223749389597203e-06
17,0,14,-4.3737557204254814e-06
17,0,15,-6.015643246937814e-06
17,0,16,-4.849087853879113e-06
17,0,17,-1.665718470841176e-06
17,0,18,1.3405928457034614e-06
17,0,19,2.4483133894256443e-06
17,0,20,1.6992127965203527e-06
17,0,21,4.019505527917843e-07
17,0,22,-2.8516677018357977e-07
17,0,23,-3.784196962442622e-07
17,0,24,-6.635556118196246e-07
17,0,25,-1.6683294482699323e-06
17,0,26,-3.024684383086813e-06
17,0,27,-3.895535395553862e-06
17,0,28,-3.80733441705103e-06
17,0,29,-3.1119729564912306e-06
17,0,30,-2.501059353542001e-06
17,0,31,-2.3313681942428374e-06
17,0,32,-2.330799396247873e-06
17,0,33,-2.0916117448623175e-06
17,0,34,-1.583131985114991e-06
17,0,35,-1.3079176109649068e-06
17,0,36,-1.7492231824319535e-06
18,0,0,-2.4634562490621343e-07
18,0,1,-2.1663291004125635e-06
18,0,2,-4.433327260481413e-06
18,0,3,-6.324722293015155e-06
18,0,4,-7.167942492232731e-06
18,0,5,-6.619456060846611e-06
18,0,6,-4.922709632095278e-06
18,0,7,-2.909795919253243e-06
18,0,8,-1.5293881233969793e-06
18,0,9,-1.217344488345563e-06
18,0,10,-1.541146798672479e-06
18,0,11,-1.5395715538255353e-06
18,0,12,-5.276673242818118e-07
18,0,13,1.2534381499211398e-06
18,0,14,2.738641746755007e-06
18,0,15,2.863238520977847e-06
18,0,16,1.5171560561221526e-06
18,0,17,-2.5568940981358103e-07
18,0,18,-1.0031011847193527e-06
18,0,19,-7.169192706405785e-08
18,0,20,1.786816782692045e-06
18,0,21,2.919327423869854e-06
18,0,22,2.0993637321189225e-06
18,0,23,-5.227448660340558e-07
18,0,24,-3.5551966523128986e-06
18,0,25,-5.513838632704147e-06
18,0,26,-5.8657414193515306e-06
18,0,27,-5.180873708817156e-06
18,0,28,-4.292625881435362e-06
18,0,29,-3.593189520753018e-06
18,0,30,-2.9955307118859987e-06
18,0,31,-2.522121250260565e-06
18,0,32,-2.5498901248078247e-06
18,0,33,-3.4201697926947063e-06
18,0,34,-4.819973836647887e-06
18,0,35,-5.925001548416934e-06
18,0,36,-6.141796712315405e-06
19,0,0,-2.1898591838895776e-06
19,0,1,-2.3864340974790463e-06
19,0,2,-6.97991673801785e-07
19,0,3,1.9614896083449323e-06
19,0,4,3.718847857207586e-06
19,0,5,3.296304616020874e-06
19,0,6,1.2405688906487561e-06
19,0,7,-6.352657332246905e-07
19,0,8,-8.200068018004379e-07
19,0,9,5.63113016347455e-07
19,0,10,2.1840527877279968e-06
19,0,11,2.8780321801183877e-06
19,0,12,2.770577380391059e-06
19,0,13,2.827851536796078e-06
19,0,14,3.6479880325429213e-06
19,0,15,4.661495110098199e-06
19,0,16,4.8156744732296005e-06
19,0,17,3.763736878377189e-06
19,0,18,2.4279923671021846e-06
19,0,19,2.0398715000021677e-06
19,0,20,2.8836928752265734e-06
19,0,21,3.927851561778806e-06
19,0,22,3.97687223554119e-06
19,0,23,2.896389967149346e-06
19,0,24,1.787090540601358e-06
19,0,25,1.6825699527246122e-06
19,0,26,2.411562163170887e-06
19,0,27,2.7411192103595535e-06
19,0,28,1.895149426718606e-06
19,0,29,5.649511506418635e-07
19,0,30,3.592560741581578e-07
19,0,31,1.9765299224522694e-06
19,0,32,4.2451124223152155e-06
19,0,33,5.029236565314032e-06
19,0,34,3.380620233099836e-06
19,0,35,5.103681890994924e-07
19,0,36,-1.305305178344606e-06
20,0,0,2.781383996598556e-06
20,0,1,1.2742088264318564e-06
20,0,2,-1.47717107593232e-07
20,0,3,-1.122829160882641e-06
20,0,4,-1.932976221423707e-06
20,0,5,-2.8486615034784967e-06
20,0,6,-3.2925993345506383e-06
20,0,7,-2.2561307896143683e-06
20,0,8,6.220351771766438e-07
20,0,9,4.22647469281088e-06
20,0,10,6.80696476731583e-06
20,0,11,7.457473950292525e-06
20,0,12,7.023583853037413e-06
20,0,13,7.081787149243609e-06
20,0,14,8.328991076689079e-06
20,0,15,9.743710106377825e-06
20,0,16,9.776648366988051e-06
20,0,17,7.96518154902654e-06
20,0,18,5.628934097534925e-06
20,0,19,4.520997821666267e-06
20,0,20,5.224362108125158e-06
20,0,21,6.5485285697751265e-06
20,0,22,6.8697097163324746e-06
20,0,23,5.6162400978941845e-06
20,0,24,3.871413412916114e-06
20,0,25,3.1375599532164247e-06
20,0,26,4.020698966883293e-06
20,0,27,5.6369587513071845e-06
20,0,28,6.6531612074008e-06
20,0,29,6.3620523217067454e-06
20,0,30,5.298138136645042e-06
20,0,31,4.400181998873978e-06
20,0,32,4.1934644002192e-06
20,0,33,4.211747426784558e-06
20,0,34,3.633145442586696e-06
20,0,35,1.926093165418124e-06
20,0,36,-4.6378664373940433e-07
21,0,0,-1.475994962841197e-06
21,0,1,-1.0931564410477903e-06
21,0,2,-3.7768750752368945e-07
