level_0,level_1,level_2,control_data_Oz
14,0,12,-2.139405328354784e-06
14,0,13,-5.097692413547148e-06
14,0,14,-8.591774658969038e-06
14,0,15,-1.1650626575723311e-05
14,0,16,-1.3478503588732382e-05
14,0,17,-1.3660299213197813e-05
14,0,18,-1.2357520065475552e-05
14,0,19,-1.0207951133677005e-05
14,0,20,-8.049309810194145e-06
14,0,21,-6.432177274641427e-06
14,0,22,-5.383810356041383e-06
14,0,23,-4.395724383375225e-06
14,0,24,-2.904463187939404e-06
14,0,25,-7.205156287499702e-07
14,0,26,1.807105063205753e-06
14,0,27,4.146737108330981e-06
14,0,28,5.936244722087788e-06
14,0,29,7.146436943992031e-06
14,0,30,7.75448945846579e-06
14,0,31,7.463094627633237e-06
14,0,32,5.7500922541380624e-06
14,0,33,2.4342917093994718e-06
14,0,34,-1.6476804621521262e-06
14,0,35,-4.511318251310001e-06
14,0,36,-4.061581118135058e-06
15,0,0,-7.668512922137701e-07
15,0,1,-6.814502386668033e-07
15,0,2,-3.910754880120118e-06
15,0,3,-9.170016119461745e-06
15,0,4,-1.2919154152466416e-05
15,0,5,-1.2441587936194059e-05
15,0,6,-8.137096422904675e-06
15,0,7,-2.906176494084134e-06
15,0,8,3.786988201723956e-07
15,0,9,9.967063454769564e-07
15,0,10,3.276727560374551e-08
15,0,11,-1.1364912266983738e-06
15,0,12,-2.1012134624709514e-06
15,0,13,-3.0440771751038116e-06
15,0,14,-3.9501694706992345e-06
15,0,15,-4.283635708073313e-06
15,0,16,-3.751540918042561e-06
15,0,17,-2.627232827803329e-06
15,0,18,-1.5982679780663804e-06
15,0,19,-7.977051728354139e-07
15,0,20,2.395062019095981e-07
15,0,21,2.167160560481314e-06
15,0,22,4.908488772726449e-06
15,0,23,7.798729464206537e-06
15,0,24,9.948621448527966e-06
15,0,25,1.0893248853312786e-05
15,0,26,1.0320291193318233e-05
15,0,27,8.018249474272122e-06
15,0,28,3.8824161161842355e-06
15,0,29,-1.2999275179918296e-06
15,0,30,-6.024736375101638e-06
15,0,31,-8.692780959265766e-06
15,0,32,-9.019956767390767e-06
15,0,33,-8.00636128694916e-06
15,0,34,-7.0617942726134385e-06
15,0,35,-6.389193826799374e-06
15,0,36,-5.201950339350108e-06
16,0,0,5.357837733556891e-06
16,0,1,8.593590010420827e-06
16,0,2,7.549992118310064e-06
16,0,3,1.0989069032843785e-06
16,0,4,-7.517889137646392e-06
16,0,5,-1.2570814766113677e-05
16,0,6,-1.0427706157177031e-05
16,0,7,-2.91455403180594e-06
16,0,8,3.884711317047831e-06
16,0,9,4.395639618467756e-06
16,0,10,-2.0524523585003216e-06
16,0,11,-1.0957788781099597e-05
16,0,12,-1.6388885222582295e-05
16,0,13,-1.535068754629325e-05
16,0,14,-9.288079447447573e-06
16,0,15,-2.259835707286718e-06
16,0,16,2.016429091815711e-06
16,0,17,1.939135501534834e-06
16,0,18,-1.8233191711926892e-06
16,0,19,-7.035445846912574e-06
16,0,20,-1.0924964753025615e-05
16,0,21,-1.148057652980948e-05
16,0,22,-8.729868698565194e-06
16,0,23,-4.948669885451642e-06
16,0,24,-3.1306870835516533e-06
16,0,25,-4.411262191091845e-06
16,0,26,-6.915666120499984e-06
16,0,27,-7.388679770025308e-06
16,0,28,-4.395231437239518e-06
16,0,29,7.95701919775438e-08
16,0,30,2.3517790746441713e-06
16,0,31,6.407646746977555e-07
16,0,32,-3.1854095615833553e-06
16,0,33,-5.363944081075586e-06
16,0,34,-3.7768423334271428e-06
16,0,35,3.4209136229476353e-07
16,0,36,3.8677503320006695e-06
17,0,0,-3.6401420035327516e-06
17,0,1,-1.9458241075702806e-06
17,0,2,-1.493146668930162e-06
17,0,3,-2.2929573220315544e-06
17,0,4,-3.69897394248618e-06
17,0,5,-4.989009977853073e-06
17,0,6,-5.616255013607516e-06
17,0,7,-5.259325995365358e-06
17,0,8,-4.1078536626656145e-06
17,0,9,-3.0039449931943036e-06
17,0,10,-3.007090389717785e-06
17,0,11,-4.3521905093314565e-06
17,0,12,-6.203625618254774e-06
17,0,13,-7.389290222878234e-06
17,0,14,-7.809174829113107e-06
17,0,15,-8.684260085176825e-06
17,0,16,-1.1402992992613358e-05
17,0,17,-1.5727506486363802e-05
