level_0,level_1,level_2,no_vis_data_Oz
16,0,1,-1.425479007007241e-05
16,0,2,-1.0022152277272599e-05
16,0,3,-2.5607323932081626e-06
16,0,4,3.53354340213043e-06
16,0,5,3.583506676215777e-06
16,0,6,-3.3141874649114894e-06
16,0,7,-1.3277778832655827e-05
16,0,8,-2.0364471432596015e-05
16,0,9,-2.0824272670492863e-05
16,0,10,-1.5582323481158514e-05
16,0,11,-9.218396145146653e-06
16,0,12,-6.295287406048362e-06
16,0,13,-8.069412553785927e-06
16,0,14,-1.1833322236159028e-05
16,0,15,-1.3347901602803192e-05
16,0,16,-1.0259360140561834e-05
16,0,17,-4.072487414963355e-06
16,0,18,1.0782738333240906e-06
16,0,19,1.769194413087899e-06
16,0,20,-1.7657143225091777e-06
16,0,21,-5.815083291303675e-06
16,0,22,-6.331847638412901e-06
16,0,23,-2.5332109012234712e-06
16,0,24,2.426715800319754e-06
16,0,25,4.0737996339386265e-06
16,0,26,4.6333226017962774e-07
16,0,27,-6.29143042085961e-06
16,0,28,-1.1895298844040165e-05
16,0,29,-1.3456965298681931e-05
16,0,30,-1.1388704466837709e-05
16,0,31,-8.420226493360123e-06
16,0,32,-6.744467928457526e-06
16,0,33,-6.33788595572689e-06
16,0,34,-5.602869434185242e-06
16,0,35,-3.4868255689872506e-06
16,0,36,-5.775164113056496e-07
17,0,0,4.727808188782008e-06
17,0,1,5.809377485257609e-06
17,0,2,1.3998171406770813e-06
17,0,3,-5.851013425729436e-06
17,0,4,-1.0300819275261002e-05
17,0,5,-7.936618321794915e-06
17,0,6,-3.567577603872624e-07
17,0,7,6.207171920048771e-06
17,0,8,6.514936200565638e-06
17,0,9,1.360759981521088e-06
17,0,10,-3.040962701400651e-06
17,0,11,-1.143462594640815e-06
17,0,12,6.220136949114678e-06
17,0,13,1.2355267428964633e-05
17,0,14,1.1038009852970163e-05
17,0,15,2.6117583209188958e-06
17,0,16,-6.37195198978412e-06
17,0,17,-9.297586941403699e-06
17,0,18,-5.582410168665053e-06
17,0,19,-6.00451457865162e-07
17,0,20,-1.3768650638290245e-07
17,0,21,-4.9261755345564404e-06
17,0,22,-1.0725832704094537e-05
17,0,23,-1.295295097608791e-05
17,0,24,-1.1131716912479576e-05
17,0,25,-8.498741353144738e-06
17,0,26,-8.016425391671066e-06
17,0,27,-9.084958718492964e-06
17,0,28,-8.65380438134155e-06
17,0,29,-4.813031117788979e-06
17,0,30,7.772127107581153e-07
17,0,31,4.419306489949955e-06
17,0,32,3.820747281314764e-06
17,0,33,3.510965877943512e-07
17,0,34,-2.443421763048738e-06
17,0,35,-1.9879286197194433e-06
17,0,36,1.0230167542987203e-06
18,0,0,-1.4178259545857692e-06
18,0,1,4.549162326414693e-06
18,0,2,1.1655651352126541e-05
18,0,3,1.702803445276669e-05
18,0,4,1.84237144838827e-05
18,0,5,1.5786549428091186e-05
18,0,6,1.1034779327741327e-05
18,0,7,6.328508701413998e-06
18,0,8,2.5764628319054886e-06
18,0,9,-6.547621166897646e-07
18,0,10,-3.883164812233891e-06
18,0,11,-6.846698044843196e-06
18,0,12,-8.717750590978197e-06
18,0,13,-9.203133368631948e-06
18,0,14,-9.042311419897695e-06
18,0,15,-9.316062780848706e-06
18,0,16,-1.0191493644904248e-05
18,0,17,-1.0583181004580942e-05
18,0,18,-9.119793093685701e-06
18,0,19,-5.828668595765434e-06
18,0,20,-2.593513311232638e-06
18,0,21,-1.8777016800998025e-06
18,0,22,-4.502619480054742e-06
18,0,23,-8.743355413799812e-06
18,0,24,-1.1408551824313427e-05
18,0,25,-1.0349358644420035e-05
18,0,26,-6.011833919272145e-06
18,0,27,-9.837836988647831e-07
18,0,28,2.200910454175497e-06
18,0,29,2.6833895790010995e-06
18,0,30,1.4527215387728478e-06
18,0,31,-7.53186168222057e-08
18,0,32,-1.271803121960349e-06
18,0,33,-2.5339746948854015e-06
18,0,34,-4.298440099251494e-06
18,0,35,-6.300689077061623e-06
18,0,36,-7.546245000082923e-06
19,0,0,1.1553180401540253e-05
19,0,1,9.741801622667186e-06
19,0,2,7.256029601997204e-06
19,0,3,4.2221444065722725e-06
19,0,4,3.397999813089726e-07
19,0,5,-4.486337705660986e-06
19,0,6,-9.362620179124103e-06
19,0,7,-1.2531018187754124e-05
19,0,8,-1.2694958611968285e-05
19,0,9,-1.0438898762941712e-05
19,0,10,-8.14216776543733e-06
19,0,11,-8.068935250959324e-06
19,0,12,-1.0397064188824058e-05
19,0,13,-1.3146159667837016e-05
19,0,14,-1.4318748648837185e-05
19,0,15,-1.3971410434267077e-05
19,0,16,-1.3982395675236664e-05
19,0,17,-1.5595443488123912e-05
19,0,18,-1.761866323128213e-05
19,0,19,-1.727427032439813e-05
19,0,20,-1.3279920874609361e-05
19,0,21,-7.78125479654416e-06
19,0,22,-4.950598014248132e-06
19,0,23,-7.054658013279109e-06
19,0,24,-1.2049159156425431e-05
19,0,25,-1.4960536141291796e-05
19,0,26,-1.211395592551985e-05
19,0,27,-4.205081921914881e-06
19,0,28,4.199895619250209e-06
19,0,29,8.424322129962176e-06
