level_0,level_1,level_2,no_vis_data_Fz
15,0,32,3.870868443682691e-06
15,0,33,5.1994193974563006e-06
15,0,34,4.853576028400301e-06
15,0,35,2.4361181566867884e-06
15,0,36,-9.127458860843293e-07
16,0,0,3.0743995470138192e-06
16,0,1,1.3110111662896148e-06
16,0,2,-4.864474321675103e-07
16,0,3,-1.2204151244034448e-06
16,0,4,-3.786574154254804e-07
16,0,5,1.3965332281084557e-06
16,0,6,2.8526771045456016e-06
16,0,7,3.383845665158266e-06
16,0,8,3.4617442513237774e-06
16,0,9,3.969332888149028e-06
16,0,10,5.064889121952676e-06
16,0,11,6.067572848597694e-06
16,0,12,6.262627814618911e-06
16,0,13,5.792098177060084e-06
16,0,14,5.339086499112083e-06
16,0,15,5.209974993122368e-06
16,0,16,4.780768429853296e-06
16,0,17,3.363654882478041e-06
16,0,18,1.3050895371476023e-06
16,0,19,1.0518291603449768e-07
16,0,20,8.736738112150047e-07
16,0,21,2.918106336265058e-06
16,0,22,3.936060297281448e-06
16,0,23,2.2202075673484435e-06
16,0,24,-1.4989755296112114e-06
16,0,25,-4.212962875522119e-06
16,0,26,-3.2033568026998156e-06
16,0,27,1.6457868941548186e-06
16,0,28,7.595195460853284e-06
16,0,29,1.1376570352143723e-05
16,0,30,1.1576934220717237e-05
16,0,31,9.38676471723079e-06
16,0,32,7.003160967305837e-06
16,0,33,5.809682347886186e-06
16,0,34,5.568080897526157e-06
16,0,35,5.32825696363776e-06
16,0,36,4.450290064518005e-06
17,0,0,-3.187418453510566e-06
17,0,1,-1.969299075667546e-06
17,0,2,-1.72467773905475e-06
17,0,3,-2.395369883057119e-06
17,0,4,-3.4619676232258614e-06
17,0,5,-4.498435440566359e-06
17,0,6,-5.272954955573453e-06
17,0,7,-5.441885595391661e-06
17,0,8,-4.642744239451277e-06
17,0,9,-2.999823708841278e-06
17,0,10,-1.5085381389470863e-06
17,0,11,-1.4597053667928889e-06
17,0,12,-3.365365460138625e-06
17,0,13,-6.312936696696082e-06
17,0,14,-8.644110622867726e-06
17,0,15,-9.297193312090906e-06
17,0,16,-8.650228975716663e-06
17,0,17,-7.946536179766596e-06
17,0,18,-8.018742056609943e-06
17,0,19,-8.481895328229594e-06
17,0,20,-8.283946350024212e-06
17,0,21,-6.846865391870816e-06
17,0,22,-4.777082429671025e-06
17,0,23,-3.33169378298996e-06
17,0,24,-3.3638909873061394e-06
17,0,25,-4.627311205525862e-06
17,0,26,-6.187343480063131e-06
17,0,27,-7.23200220680985e-06
17,0,28,-7.634862527165374e-06
17,0,29,-7.680818931332883e-06
17,0,30,-7.6021614627769045e-06
17,0,31,-7.261867830473821e-06
17,0,32,-6.454756754241983e-06
17,0,33,-5.21958435048661e-06
17,0,34,-3.975308632226602e-06
17,0,35,-3.1412510465691015e-06
17,0,36,-2.856364196121531e-06
18,0,0,-2.004963091939603e-06
18,0,1,-3.7221951615578697e-06
18,0,2,-5.0004095846149625e-06
18,0,3,-5.579583459089821e-06
18,0,4,-5.337243499020948e-06
18,0,5,-4.487933686987439e-06
18,0,6,-3.4542914878285145e-06
18,0,7,-2.357319534550991e-06
18,0,8,-9.22220001584403e-07
18,0,9,1.1652227104523341e-06
18,0,10,3.547582362556194e-06
18,0,11,5.208777370481227e-06
18,0,12,5.115267853223984e-06
18,0,13,3.314441032038122e-06
18,0,14,1.123159307464304e-06
18,0,15,3.7639813960314043e-07
18,0,16,1.9116127362575413e-06
18,0,17,4.945803885704708e-06
18,0,18,7.520565234896766e-06
18,0,19,8.138045207791702e-06
18,0,20,6.7487287292998825e-06
18,0,21,4.7338254058186015e-06
18,0,22,3.502565648328559e-06
18,0,23,3.4887038574733407e-06
18,0,24,3.844473451852402e-06
18,0,25,3.5603716772431005e-06
18,0,26,2.364149476065199e-06
18,0,27,1.1439744582666e-06
18,0,28,9.475945403440971e-07
18,0,29,2.1544434596748043e-06
18,0,30,3.8575781793065834e-06
18,0,31,4.660691116769851e-06
18,0,32,3.5772082434132053e-06
18,0,33,1.0398310378482997e-06
18,0,34,-1.5502795808058911e-06
18,0,35,-2.665280084027425e-06
18,0,36,-2.0706000522520396e-06
19,0,0,-9.473396430814432e-08
19,0,1,2.8552852170660047e-07
19,0,2,1.1156496095998618e-06
19,0,3,2.692495440090938e-06
19,0,4,5.15598629542699e-06
19,0,5,8.038124480387186e-06
19,0,6,1.031490480181619e-05
19,0,7,1.108844315392439e-05
19,0,8,1.0316476408684272e-05
19,0,9,8.880467199103416e-06
19,0,10,7.963859507508343e-06
19,0,11,8.265897609297521e-06
19,0,12,9.701084635655723e-06
19,0,13,1.1624164645081974e-05
19,0,14,1.3354205492574055e-05
19,0,15,1.4484602649932391e-05
19,0,16,1.4942120692295886e-05
19,0,17,1.482843239768866e-05
19,0,18,1.430235300570507e-05
19,0,19,1.342004708919744e-05
19,0,20,1.2129171408309359e-05
19,0,21,1.0335456471999456e-05
19,0,22,8.150621700715223e-06
19,0,23,5.952550870939915e-06
19,0,24,4.288172631511242e-06
19,0,25,3.4237550208625193e-06
19,0,26,3.0507312203400757e-06
19,0,27,2.3340823083723116e-06
19,0,28,5.385775774121202e-07
19,0,29,-2.3943734406470083e-06
19,0,30,-5.606253118324139e-06
19,0,31,-7.902240149151385e-06
19,0,32,-8.504180859138157e-06
19,0,33,-7.66387322579694e-06
19,0,34,-6.388397837024521e-06
19,0,35,-5.785038679079728e-06
19,0,36,-6.314363512005484e-06
